date,gold,gold_pct_change,sp500,dxy,kospi200
2014-01-02,1225.0,,1831.97998046875,80.62999725341797,257.6400146484375
2014-01-03,1238.4000244140625,1.0938795440051052,1831.3699951171875,80.79000091552734,254.47999572753906
2014-01-06,1237.800048828125,-0.04844764002821522,1826.77001953125,80.6500015258789,255.41000366210938
2014-01-07,1229.4000244140625,-0.67862530963827,1837.8800048828125,80.83000183105469,255.97999572753906
2014-01-08,1225.300048828125,-0.3334940218413962,1837.489990234375,81.04000091552734,255.75999450683594
2014-01-09,1229.300048828125,0.32645065213419144,1838.1300048828125,81.01000213623047,253.6300048828125
2014-01-10,1246.699951171875,1.4154316808444811,1842.3699951171875,80.66000366210938,252.47999572753906
2014-01-13,1250.9000244140625,0.33689527606377556,1819.199951171875,80.51000213623047,254.0800018310547
2014-01-14,1245.199951171875,-0.45567776248605085,1838.8800048828125,80.61000061035156,253.97000122070312
2014-01-15,1238.0999755859375,-0.5701875894915998,1848.3800048828125,81.0,254.72999572753906
2014-01-16,1240.0,0.15346292315072674,1845.8900146484375,80.9000015258789,255.36000061035156
2014-01-17,1251.699951171875,0.9435444493447687,1838.699951171875,81.26000213623047,253.4600067138672
2014-01-20,,,,,254.80999755859375
2014-01-21,1242.300048828125,,1843.800048828125,81.0999984741211,256.3399963378906
2014-01-22,1239.0,-0.2656402397502866,1844.8599853515625,81.16999816894531,257.0799865722656
2014-01-23,1262.5999755859375,1.904759934296818,1828.4599609375,80.44000244140625,253.74000549316406
2014-01-24,1264.5,0.15048506659289806,1790.2900390625,80.45999908447266,252.88999938964844
2014-01-27,1263.5999755859375,-0.07117630795274721,1781.56005859375,80.5,248.9499969482422
2014-01-28,1251.0,-0.9971490843132425,1792.5,80.56999969482422,249.91000366210938
2014-01-29,1262.199951171875,0.8952798698541153,1774.199951171875,80.51000213623047,252.88999938964844
2014-01-30,1242.199951171875,-1.5845350002930414,1794.18994140625,81.08999633789062,
2014-01-31,1240.0999755859375,-0.16905294384824687,1782.5899658203125,81.2699966430664,
2014-02-03,1260.4000244140625,1.6369687305681557,1741.8900146484375,81.01000213623047,250.00999450683594
2014-02-04,1251.699951171875,-0.690262858907198,1755.199951171875,81.12000274658203,245.3000030517578
2014-02-05,1257.300048828125,0.4473993668376419,1751.6400146484375,81.02999877929688,246.0399932861328
2014-02-06,1257.5999755859375,0.023854827500557896,1773.4300537109375,80.88999938964844,248.55999755859375
2014-02-07,1263.300048828125,0.4532501075734885,1797.02001953125,80.69000244140625,250.50999450683594
2014-02-10,1274.800048828125,0.9103142211280391,1799.8399658203125,80.66999816894531,250.47000122070312
2014-02-11,1290.0999755859375,1.2001824734692468,1819.75,80.62999725341797,251.8699951171875
2014-02-12,1295.300048828125,0.4030752143705518,1819.260009765625,80.68000030517578,252.30999755859375
2014-02-13,1300.4000244140625,0.39372928230423376,1829.8299560546875,80.29000091552734,250.97000122070312
2014-02-14,1319.0,1.4303272252181198,1838.6300048828125,80.12999725341797,252.74000549316406
2014-02-17,,,,,253.63999938964844
2014-02-18,1324.699951171875,,1840.760009765625,80.01000213623047,253.66000366210938
2014-02-19,1320.5999755859375,-0.3095022070704001,1828.75,80.16999816894531,252.9199981689453
2014-02-20,1317.0999755859375,-0.26503105139367156,1839.780029296875,80.29000091552734,250.9499969482422
2014-02-21,1323.9000244140625,0.5162894961789011,1836.25,80.23999786376953,255.22000122070312
2014-02-24,1338.300048828125,1.087697269318788,1847.6099853515625,80.20999908447266,254.00999450683594
2014-02-25,1343.0,0.35118814917405317,1845.1199951171875,80.1500015258789,256.239990234375
2014-02-26,1328.199951171875,-1.1020140601731176,1845.1600341796875,80.41000366210938,257.30999755859375
2014-02-27,1331.5999755859375,0.2559873918879907,1854.2900390625,80.29000091552734,258.2799987792969
2014-02-28,1321.4000244140625,-0.7659921417005666,1859.449951171875,79.77999877929688,258.4100036621094
2014-03-03,1350.0999755859375,2.171935117422241,1845.72998046875,80.06999969482422,256.2900085449219
2014-03-04,1337.800048828125,-0.911038217927107,1873.9100341796875,80.16000366210938,254.77999877929688
2014-03-05,1340.199951171875,0.17939170699330376,1873.81005859375,80.11000061035156,257.29998779296875
2014-03-06,1351.699951171875,0.8580809147130886,1877.030029296875,79.68000030517578,257.6300048828125
2014-03-07,1338.0999755859375,-1.0061386459433441,1878.0400390625,79.72000122070312,257.3500061035156
2014-03-10,1341.4000244140625,0.2466219930001845,1877.1700439453125,79.75,254.47999572753906
2014-03-11,1346.5,0.3801979642996667,1867.6300048828125,79.7699966430664,255.49000549316406
2014-03-12,1370.300048828125,1.7675491146026845,1868.199951171875,79.61000061035156,251.11000061035156
2014-03-13,1372.199951171875,0.13864863723640486,1846.3399658203125,79.62000274658203,251.08999633789062
2014-03-14,1379.0,0.49555815989628105,1841.1300048828125,79.44000244140625,249.02000427246094
2014-03-17,1372.9000244140625,-0.4423477582260693,1858.8299560546875,79.38999938964844,250.14999389648438
2014-03-18,1359.0,-1.0124571466880727,1872.25,79.41000366210938,251.8699951171875
2014-03-19,1341.4000244140625,-1.2950681078688353,1860.77001953125,79.98999786376953,251.32000732421875
2014-03-20,1330.5,-0.8125856728550263,1872.010009765625,80.20999908447266,248.67999267578125
2014-03-21,1336.0,0.4133784291619591,1866.52001953125,80.11000061035156,250.67999267578125
2014-03-24,1311.199951171875,-1.8562910799494792,1857.43994140625,79.93000030517578,252.30999755859375
2014-03-25,1311.4000244140625,0.015258789630734348,1865.6199951171875,79.94000244140625,251.55999755859375
2014-03-26,1303.4000244140625,-0.6100350656600306,1852.56005859375,79.9800033569336,255.0800018310547
2014-03-27,1294.699951171875,-0.6674906459433694,1849.0400390625,80.11000061035156,257.260009765625
2014-03-28,1293.800048828125,-0.06950663301836801,1857.6199951171875,80.18000030517578,257.44000244140625
2014-03-31,1283.4000244140625,-0.8038355249315732,1872.3399658203125,80.0999984741211,258.1099853515625
2014-04-01,1279.5999755859375,-0.296092313841112,1885.52001953125,80.08000183105469,258.95001220703125
2014-04-02,1290.5,0.8518306206649617,1890.9000244140625,80.22000122070312,259.70001220703125
2014-04-03,1284.4000244140625,-0.4726831139819865,1888.77001953125,80.47000122070312,259.3399963378906
2014-04-04,1303.199951171875,1.463712737500833,1865.0899658203125,80.41999816894531,259.4700012207031
2014-04-07,1298.0,-0.3990140704961731,1845.0400390625,80.22000122070312,259.8900146484375
2014-04-08,1308.699951171875,0.8243413845820502,1851.9599609375,79.75,260.4700012207031
2014-04-09,1305.5,-0.24451373815744804,1872.1800537109375,79.4800033569336,261.2099914550781
2014-04-10,1320.0999755859375,1.1183435914161155,1833.0799560546875,79.37999725341797,262.4100036621094
2014-04-11,1318.699951171875,-0.10605442314632896,1815.68994140625,79.44999694824219,260.5299987792969
2014-04-14,1327.199951171875,0.6445742257324305,1830.6099853515625,79.7300033569336,260.510009765625
2014-04-15,1300.0,-2.049423762249114,1842.97998046875,79.80000305175781,259.739990234375
2014-04-16,1303.0999755859375,0.23845966045672462,1862.31005859375,79.81999969482422,259.8299865722656
2014-04-17,1293.4000244140625,-0.744375055913371,1864.8499755859375,79.83000183105469,259.6600036621094
2014-04-21,1288.0,-0.41750613206528175,1871.8900146484375,79.94999694824219,260.8999938964844
2014-04-22,1280.5999755859375,-0.5745360569924252,1879.550048828125,79.91000366210938,261.54998779296875
2014-04-23,1284.199951171875,0.28111632473601933,1875.3900146484375,79.86000061035156,261.20001220703125
2014-04-24,1290.5,0.4905816124954665,1878.6099853515625,79.80000305175781,261.0799865722656
2014-04-25,1300.699951171875,0.7903875375339098,1863.4000244140625,79.7699966430664,257.4200134277344
2014-04-28,1298.9000244140625,-0.13838139658503001,1869.4300537109375,79.68000030517578,256.79998779296875
2014-04-29,1296.0,-0.22326771572513948,1878.3299560546875,79.80999755859375,255.8000030517578
2014-04-30,1295.5999755859375,-0.030866081331981654,1883.949951171875,79.48999786376953,255.3300018310547
2014-05-01,1283.0999755859375,-0.9648039700175914,1883.6800537109375,79.52999877929688,
2014-05-02,1302.5999755859375,1.5197568678227968,1881.1400146484375,79.5199966430664,255.07000732421875
2014-05-05,1309.0,0.4913269256882735,1884.6600341796875,79.48999786376953,
