class,feature_kr,feature_value,shap_value
인상,원/달러 환율 YoY,4.6494,-0.010108
인상,원/달러 환율 YoY,1.7611,-0.0067620627
인상,원/달러 환율 YoY,0.2279,0.008491475
인상,원/달러 환율 YoY,0.173,0.009320737
인상,원/달러 환율 YoY,2.2059,-0.0063443547
인상,원/달러 환율 YoY,3.0574,-0.01048244
인상,원/달러 환율 YoY,-13.5549,-0.07795585
인상,kr_cpi_change_lag2,0.1809,-0.03133767
인상,kr_cpi_change_lag2,0.0774,-0.035744425
인상,kr_cpi_change_lag2,-0.0945,-0.039914515
인상,kr_cpi_change_lag2,0.0344,-0.038240183
인상,kr_cpi_change_lag2,0.1806,-0.029488966
인상,kr_cpi_change_lag2,-0.0601,-0.036097307
인상,kr_cpi_change_lag2,0.5238,0.016273864
인상,kr_cpi_change_lag2,0.3075,-0.027329894
인상,kr_cpi_change_lag2,-0.1874,-0.03969664
인상,kr_cpi_change_lag2,0.3157,-0.029852597
인상,kr_cpi_change_lag2,0.3913,-0.025981136
인상,kr_cpi_change_lag2,0.3135,-0.028511278
인상,kr_cpi_change_lag2,0.3378,-0.02939417
인상,WTI 유가 6개월평균,68.5567,-0.022638623
인상,WTI 유가 6개월평균,68.2317,-0.02487514
인상,WTI 유가 6개월평균,67.0067,-0.023771275
인상,WTI 유가 6개월평균,65.895,-0.023670135
인상,WTI 유가 6개월평균,65.1817,-0.02457443
인상,WTI 유가 6개월평균,64.74,-0.024556624
인상,WTI 유가 6개월평균,64.3883,-0.024304193
인상,WTI 유가 6개월평균,62.6883,-0.026872402
인상,WTI 유가 6개월평균,61.2967,-0.026931163
인상,WTI 유가 6개월평균,61.2383,-0.02694897
인상,WTI 유가 6개월평균,65.8083,-0.02335608
인상,WTI 유가 6개월평균,72.38,-0.0072822548
인상,WTI 유가 6개월평균,73.7636,-0.017410122
인상,미국 연방기금금리 3개월모멘텀,0.0,-0.0014707984
인상,미국 연방기금금리 3개월모멘텀,0.0,-0.0014707984
인상,미국 연방기금금리 3개월모멘텀,0.0,-0.0014707984
인상,미국 연방기금금리 3개월모멘텀,0.0,-0.0016692304
인상,미국 연방기금금리 3개월모멘텀,-0.11,-0.0045042015
인상,미국 연방기금금리 3개월모멘텀,-0.24,-0.0045042015
인상,미국 연방기금금리 3개월모멘텀,-0.45,-0.0045042015
인상,미국 연방기금금리 3개월모멘텀,-0.5,-0.0045042015
인상,미국 연방기금금리 3개월모멘텀,-0.45,-0.0045042015
인상,미국 연방기금금리 3개월모멘텀,-0.24,-0.0045042015
인상,미국 연방기금금리 3개월모멘텀,-0.08,-0.00950078
인상,미국 연방기금금리 3개월모멘텀,0.0,-0.010143452
인상,미국 연방기금금리 3개월모멘텀,-1.8281,-0.0056684
인상,WTI 유가,62.17,-0.061033804
인상,WTI 유가,68.17,-0.06092877
인상,WTI 유가,68.39,-0.066369906
인상,WTI 유가,64.86,-0.068351425
인상,WTI 유가,63.96,-0.06132553
인상,WTI 유가,60.89,-0.060588237
인상,WTI 유가,60.06,-0.060945023
인상,WTI 유가,57.97,-0.06132553
인상,WTI 유가,60.04,-0.061263923
인상,WTI 유가,64.51,-0.06198976
인상,WTI 유가,91.38,0.058403883
인상,WTI 유가,100.32,0.05557611
인상,WTI 유가,68.3615,-0.10822983
인상,미국 연방기금금리 변화율,0.0,-0.019744633
인상,미국 연방기금금리 변화율,0.0,-0.020642236
인상,미국 연방기금금리 변화율,0.0,-0.02097648
인상,미국 연방기금금리 변화율,0.0,-0.018711537
인상,미국 연방기금금리 변화율,-0.11,-0.022307292
인상,미국 연방기금금리 변화율,-0.13,-0.022206394
