feature_kr,feature_value,shap_value
S&P500-KOSPI200 스프레드,-0.002441,0.012252675
S&P500-KOSPI200 스프레드,-0.006406,0.009493092
S&P500-KOSPI200 스프레드,-0.017514,-0.16775809
S&P500-KOSPI200 스프레드,-0.003435,0.021805735
S&P500-KOSPI200 스프레드,0.011374,0.05634224
S&P500-KOSPI200 스프레드,0.014561,0.037122678
S&P500-KOSPI200 스프레드,0.010326,0.043605573
S&P500-KOSPI200 스프레드,-0.024015,-0.18661034
S&P500-KOSPI200 스프레드,-0.003466,0.017235968
S&P500-KOSPI200 스프레드,0.019152,0.05517906
S&P500-KOSPI200 스프레드,-0.004451,0.019539906
S&P500-KOSPI200 스프레드,1e-06,0.03620158
S&P500-KOSPI200 스프레드,0.004703,0.038310703
S&P500-KOSPI200 스프레드,0.011716,0.053942144
S&P500-KOSPI200 스프레드,-0.011676,-0.12020143
S&P500-KOSPI200 스프레드,0.011896,0.021406518
S&P500-KOSPI200 스프레드,-0.007449,0.027686462
S&P500-KOSPI200 스프레드,0.008202,0.020481877
S&P500-KOSPI200 스프레드,-0.002329,0.00239975
S&P500-KOSPI200 스프레드,-0.007946,0.006336348
S&P500-KOSPI200 스프레드,0.021909,0.066879414
S&P500-KOSPI200 스프레드,-0.014092,-0.21489462
S&P500-KOSPI200 스프레드,0.009787,0.05421585
S&P500-KOSPI200 스프레드,0.011178,0.04844156
S&P500-KOSPI200 스프레드,0.009394,0.067711584
S&P500-KOSPI200 스프레드,-0.019179,-0.15201554
S&P500-KOSPI200 스프레드,0.009602,0.06569896
S&P500-KOSPI200 스프레드,0.001034,0.04610006
S&P500-KOSPI200 스프레드,-0.0002,0.062131975
S&P500-KOSPI200 스프레드,-0.014624,-0.1483283
S&P500-KOSPI200 스프레드,0.013163,0.043595105
S&P500-KOSPI200 스프레드,0.00203,0.07350714
S&P500-KOSPI200 스프레드,-0.00077,0.040688533
S&P500-KOSPI200 스프레드,-0.007437,0.022673354
S&P500-KOSPI200 스프레드,-0.003729,0.028367715
S&P500-KOSPI200 스프레드,0.013356,0.059713196
S&P500-KOSPI200 스프레드,-0.00783,0.012563161
S&P500-KOSPI200 스프레드,-0.02119,-0.19552697
S&P500-KOSPI200 스프레드,0.008573,0.042049292
S&P500-KOSPI200 스프레드,0.003472,0.040967878
S&P500-KOSPI200 스프레드,7.5e-05,0.06891663
S&P500-KOSPI200 스프레드,-0.006747,0.0013806373
S&P500-KOSPI200 스프레드,0.002839,0.05430427
S&P500-KOSPI200 스프레드,-0.008662,-0.19532189
S&P500-KOSPI200 스프레드,0.001842,0.041176002
S&P500-KOSPI200 스프레드,0.014365,0.051215503
S&P500-KOSPI200 스프레드,-0.000241,0.041403323
S&P500-KOSPI200 스프레드,-0.02649,-0.16030103
S&P500-KOSPI200 스프레드,0.003545,0.028799891
