date_ymd,actual,predict,proba_down,proba_up,top5_factors
2025-05-13,하락/보합,상승,0.48844197289876945,0.5115580271012301,"↑ 한국 소비자물가지수: 값=116.2700, SHAP=+0.0494 | ↑ S&P 500 지수: 값=5886.5500, SHAP=+0.0456 | ↑ 달러 인덱스: 값=122.9600, SHAP=+0.0425 | ↓ 금값 변동성(20일표준편차): 값=0.0213, SHAP=-0.0352 | ↓ VIX 변동성 지수: 값=18.2200, SHAP=-0.0254"
2025-05-23,하락/보합,상승,0.4626835601379164,0.5373164398620832,"↑ 한국 소비자물가지수: 값=116.2700, SHAP=+0.0687 | ↓ 금값 변동성(20일표준편차): 값=0.0183, SHAP=-0.0437 | ↑ 달러 인덱스: 값=121.3800, SHAP=+0.0410 | ↑ S&P 500 지수: 값=5802.8200, SHAP=+0.0405 | ↑ VIX 변동성 지수: 값=22.2900, SHAP=+0.0343"
2025-06-02,하락/보합,상승,0.47374774390160557,0.5262522560983939,"↑ 한국 소비자물가지수: 값=116.3100, SHAP=+0.0742 | ↑ S&P 500 지수: 값=5935.9400, SHAP=+0.0526 | ↑ 달러 인덱스: 값=121.1900, SHAP=+0.0423 | ↓ 금값 변동성(20일표준편차): 값=0.0182, SHAP=-0.0373 | ↑ 금값 RSI(14일) 3일전: 값=44.1504, SHAP=+0.0235"
2025-06-03,하락/보합,상승,0.4714743474864031,0.5285256525135963,"↑ 한국 소비자물가지수: 값=116.3100, SHAP=+0.0750 | ↑ S&P 500 지수: 값=5970.3700, SHAP=+0.0488 | ↑ 달러 인덱스: 값=121.4600, SHAP=+0.0441 | ↓ 금값 변동성(20일표준편차): 값=0.0175, SHAP=-0.0352 | ↓ VIX 변동성 지수: 값=17.6900, SHAP=-0.0261"
2025-06-04,하락/보합,상승,0.46960092278249393,0.5303990772175055,"↑ 한국 소비자물가지수: 값=116.3100, SHAP=+0.0805 | ↑ S&P 500 지수: 값=5970.8100, SHAP=+0.0551 | ↑ 달러 인덱스: 값=121.0500, SHAP=+0.0418 | ↓ 금값 변동성(20일표준편차): 값=0.0161, SHAP=-0.0385 | ↓ VIX 변동성 지수: 값=17.6100, SHAP=-0.0268"
2025-06-05,하락/보합,상승,0.48101575654880496,0.5189842434511944,"↑ 한국 소비자물가지수: 값=116.3100, SHAP=+0.0740 | ↑ 달러 인덱스: 값=120.9600, SHAP=+0.0428 | ↑ S&P 500 지수: 값=5939.3000, SHAP=+0.0400 | ↓ 금값 변동성(20일표준편차): 값=0.0161, SHAP=-0.0392 | ↓ VIX 변동성 지수: 값=18.4800, SHAP=-0.0164"
2025-06-13,하락/보합,상승,0.4700739342499536,0.5299260657500459,"↑ 한국 소비자물가지수: 값=116.3100, SHAP=+0.0570 | ↑ VIX 변동성 지수: 값=20.8200, SHAP=+0.0444 | ↑ 달러 인덱스: 값=120.3200, SHAP=+0.0420 | ↑ S&P 500 지수: 값=5976.9700, SHAP=+0.0374 | ↓ 금값 변화율 SMA(20일이동평균): 값=0.0032, SHAP=-0.0239"
2025-06-16,하락/보합,상승,0.4726029762199008,0.5273970237800988,"↑ 한국 소비자물가지수: 값=116.3100, SHAP=+0.0591 | ↑ S&P 500 지수: 값=6033.1100, SHAP=+0.0502 | ↑ 달러 인덱스: 값=120.1600, SHAP=+0.0417 | ↓ 금값 변화율 SMA(20일이동평균): 값=0.0033, SHAP=-0.0274 | ↑ 금값 RSI(14일) 3일전: 값=51.8470, SHAP=+0.0215"
2025-06-17,하락/보합,상승,0.4714883582398412,0.5285116417601583,"↑ VIX 변동성 지수: 값=21.6000, SHAP=+0.0460 | ↑ 달러 인덱스: 값=120.5000, SHAP=+0.0411 | ↑ 한국 소비자물가지수: 값=116.3100, SHAP=+0.0397 | ↓ 금값 변화율 EMA(20일) 2일전: 값=0.0033, SHAP=-0.0203 | ↑ S&P 500 지수: 값=5982.7200, SHAP=+0.0200"
2025-06-18,하락/보합,상승,0.4878293989060995,0.5121706010939,"↑ 달러 인덱스: 값=120.7300, SHAP=+0.0418 | ↑ 한국 소비자물가지수: 값=116.3100, SHAP=+0.0375 | ↑ S&P 500 지수: 값=5980.8700, SHAP=+0.0347 | ↓ 금값 변화율 SMA(20일이동평균): 값=0.0017, SHAP=-0.0197 | ↓ 금값 RSI(14일) 3일전: 값=58.1002, SHAP=-0.0148"
2025-06-20,하락/보합,상승,0.463942104702074,0.5360578952979256,"↑ 달러 인덱스: 값=121.0400, SHAP=+0.0426 | ↑ S&P 500 지수: 값=5967.8400, SHAP=+0.0404 | ↑ 한국 소비자물가지수: 값=116.3100, SHAP=+0.0338 | ↑ VIX 변동성 지수: 값=20.6200, SHAP=+0.0222 | ↓ 국제 금 선물 가격: 값=3368.1000, SHAP=-0.0152"
2025-06-23,하락/보합,상승,0.46595106419125276,0.5340489358087468,"↑ S&P 500 지수: 값=6025.1700, SHAP=+0.0480 | ↑ 한국 소비자물가지수: 값=116.3100, SHAP=+0.0443 | ↑ 달러 인덱스: 값=121.1700, SHAP=+0.0432 | ↓ 금값 변화율 SMA(20일이동평균): 값=0.0013, SHAP=-0.0167 | ↓ 국제 금 선물 가격: 값=3377.7000, SHAP=-0.0137"
2025-06-24,하락/보합,상승,0.4584017243969914,0.5415982756030081,"↑ 한국 소비자물가지수: 값=116.3100, SHAP=+0.0589 | ↑ S&P 500 지수: 값=6092.1800, SHAP=+0.0526 | ↑ 달러 인덱스: 값=120.3600, SHAP=+0.0385 | ↑ 금값 변화율 SMA(20일이동평균): 값=-0.0006, SHAP=+0.0358 | ↓ VIX 변동성 지수: 값=17.4800, SHAP=-0.0253"
2025-06-25,하락/보합,상승,0.4665262501485574,0.533473749851442,"↑ S&P 500 지수: 값=6092.1600, SHAP=+0.0447 | ↑ 달러 인덱스: 값=120.3300, SHAP=+0.0447 | ↑ 한국 소비자물가지수: 값=116.3100, SHAP=+0.0419 | ↓ VIX 변동성 지수: 값=16.7600, SHAP=-0.0286 | ↓ 금값 변화율 SMA(20일이동평균): 값=0.0005, SHAP=-0.0182"
2025-06-26,하락/보합,상승,0.45513981813032994,0.5448601818696693,"↑ S&P 500 지수: 값=6141.0200, SHAP=+0.0605 | ↑ 한국 소비자물가지수: 값=116.3100, SHAP=+0.0531 | ↑ 달러 인덱스: 값=119.6500, SHAP=+0.0447 | ↓ VIX 변동성 지수: 값=16.5900, SHAP=-0.0282 | ↑ 금값 RSI(14일) 3일전: 값=51.4170, SHAP=+0.0236"
2025-07-01,하락/보합,상승,0.4434760146248786,0.5565239853751208,"↑ 한국 소비자물가지수: 값=116.5200, SHAP=+0.0758 | ↑ S&P 500 지수: 값=6198.0100, SHAP=+0.0555 | ↑ 달러 인덱스: 값=119.3400, SHAP=+0.0420 | ↑ 금값 변화율 EMA(20일) 2일전: 값=-0.0020, SHAP=+0.0304 | ↓ VIX 변동성 지수: 값=16.8300, SHAP=-0.0286"
2025-07-02,하락/보합,상승,0.4503571796570593,0.5496428203429402,"↑ 한국 소비자물가지수: 값=116.5200, SHAP=+0.0657 | ↑ S&P 500 지수: 값=6227.4200, SHAP=+0.0604 | ↑ 달러 인덱스: 값=119.3000, SHAP=+0.0441 | ↓ VIX 변동성 지수: 값=16.6400, SHAP=-0.0286 | ↑ 금값 RSI(14일) 3일전: 값=43.1225, SHAP=+0.0229"
2025-07-03,하락/보합,상승,0.4383561219288286,0.5616438780711708,"↑ 한국 소비자물가지수: 값=116.5200, SHAP=+0.0745 | ↑ S&P 500 지수: 값=6279.3500, SHAP=+0.0625 | ↑ 달러 인덱스: 값=119.2400, SHAP=+0.0398 | ↑ 금값 변화율 SMA(20일이동평균): 값=-0.0006, SHAP=+0.0369 | ↓ VIX 변동성 지수: 값=16.3800, SHAP=-0.0252"
2025-07-04,하락/보합,상승,0.4506551169941089,0.5493448830058906,"↑ 한국 소비자물가지수: 값=116.5200, SHAP=+0.0750 | ↑ S&P 500 지수: 값=6279.3500, SHAP=+0.0592 | ↑ 달러 인덱스: 값=119.2400, SHAP=+0.0430 | ↓ VIX 변동성 지수: 값=17.4800, SHAP=-0.0278 | ↓ 국제 금 선물 가격: 값=3332.5000, SHAP=-0.0132"
2025-07-07,하락/보합,상승,0.44746508334933505,0.5525349166506643,"↑ 한국 소비자물가지수: 값=116.5200, SHAP=+0.0768 | ↑ S&P 500 지수: 값=6229.9800, SHAP=+0.0564 | ↑ 달러 인덱스: 값=119.6200, SHAP=+0.0441 | ↓ VIX 변동성 지수: 값=17.7900, SHAP=-0.0281 | ↓ 국제 금 선물 가격: 값=3332.2000, SHAP=-0.0124"
2025-07-11,하락/보합,상승,0.44931633991469155,0.5506836600853079,"↑ 한국 소비자물가지수: 값=116.5200, SHAP=+0.0695 | ↑ S&P 500 지수: 값=6259.7500, SHAP=+0.0570 | ↑ 달러 인덱스: 값=119.9200, SHAP=+0.0447 | ↓ VIX 변동성 지수: 값=16.4000, SHAP=-0.0285 | ↑ 금값 RSI(14일) 3일전: 값=36.4967, SHAP=+0.0207"
